2	13	228	117	74	813	40	41	642	135	37
3	401	559	203	465	863	632	512	692	41	271
4	816	851	750	844	70	850	748	28	203	185
5	6	195	71	674	369	360	28	363	339	185
6	5	674	195	360	28	71	369	185	339	257
7	256	432	340	517	581	778	298	61	21	18
8	516	160	36	34	460	843	232	197	859	21
9	881	617	166	163	790	321	172	534	652	108
17	173	7	102	778	524	145	29	546	397	787
18	886	638	610	504	675	748	569	236	594	159
19	477	663	499	750	532	425	492	375	203	218
20	814	15	102	137	400	56	28	417	58	332
21	228	683	2	30	775	877	117	41	97	166
224	205	694	844	679	378	256	763	771	632	742
298	814	432	113	677	348	11	340	886	77	102
302	119	794	867	226	506	94	511	621	33	554
11	19	362	169	721	34	634	647	410	229	192
12	700	27	42	7	144	41	321	37	203	28
13	17	34	48	837	169	229	20	262	63	280
14	837	19	52	95	695	546	604	280	238	274
15	838	516	582	7	8	778	160	867	23	655
16	238	725	554	865	729	34	92	160	862	456
26	706	778	2	27	546	237	877	368	298	816
40	700	15	28	37	42	144	41	66	203	18
123	366	246	524	298	733	168	595	433	173	368
202	595	368	298	397	366	22	348	121	211	350
203	179	131	792	184	368	552	133	690	432	102
319	145	836	770	433	366	397	312	184	837	610
491	720	741	668	568	817	177	88	887	672	495
528	326	505	388	377	268	531	378	11	653	750
548	481	728	459	506	673	877	102	226	29	547
578	503	749	589	55	481	365	794	531	102	11
633	694	845	572	553	881	767	829	693	682	847
658	514	542	621	620	599	495	864	253	313	573
700	827	881	628	668	542	847	708	541	573	744
828	789	732	734	730	647	736	865	645	661	432
25	184	683	216	248	465	491	526	347	100	635
27	626	248	593	370	155	750	43	402	623	347
28	248	530	16	140	750	792	398	43	223	491
32	107	16	347	55	870	683	867	58	94	57
33	66	633	43	28	683	400	700	144	747	55
34	115	327	70	356	705	475	731	882	585	54
35	227	249	199	747	548	149	530	499	787	869
36	101	110	47	247	792	820	164	615	256	581
37	27	28	144	15	747	66	203	37	18	42
38	750	630	38	841	552	314	315	131	76	747
39	814	186	159	114	786	661	515	432	551	111
41	37	66	700	6	5	185	71	15	203	27
42	414	579	792	784	231	61	155	546	786	823
43	119	328	606	722	490	181	196	683	492	57
60	37	341	135	750	15	193	2	56	171	203
61	596	375	259	857	748	334	353	675	849	392
62	493	193	653	850	266	37	749	5	71	195
63	43	850	319	788	400	869	750	700	748	28
64	700	28	55	66	750	870	548	27	37	42
66	597	500	258	161	753	563	555	548	123	314
73	582	198	838	491	576	216	44	701	594	723
74	9	166	617	534	91	317	708	763	18	767
75	747	530	93	149	148	579	845	552	508	400
104	154	147	56	220	28	750	749	850	555	863
138	249	633	392	499	149	142	703	201	331	750
144	536	199	633	202	139	137	392	227	249	750
155	199	747	137	134	107	750	870	139	191	59
156	121	128	718	199	90	107	705	58	869	507
168	527	590	659	60	248	750	143	860	130	506
174	137	747	633	139	58	869	750	530	700	59
206	439	438	187	181	644	823	845	16	202	57
232	256	559	632	584	562	560	113	836	166	656
233	781	861	458	86	82	687	750	835	391	565
320	419	110	658	750	536	449	809	637	530	787
321	635	202	634	123	26	508	742	805	352	572
322	227	633	331	55	392	499	201	703	750	530
22	770	679	762	661	35	511	130	616	858	761
23	700	27	28	37	400	74	823	857	203	66
24	421	282	202	701	528	867	140	181	530	107
29	478	117	42	28	700	3	559	37	632	671
30	757	138	816	750	43	768	207	11	845	726
31	216	838	320	44	582	184	526	251	371	26
96	188	320	465	819	64	459	816	216	23	421
97	55	747	223	402	867	43	227	400	107	683
98	46	605	67	320	701	722	819	714	76	849
106	158	679	628	167	233	573	617	275	534	166
108	253	101	132	167	554	621	164	741	313	456
115	48	590	192	310	52	229	413	554	280	167
182	569	718	481	676	330	213	250	489	341	397
44	19	17	516	8	48	224	142	192	721	169
45	511	473	616	458	14	8	706	628	727	762
46	162	502	609	664	622	550	836	8	591	381
187	313	109	225	546	456	554	253	192	621	433
188	656	679	256	742	628	762	322	774	130	90
189	877	142	876	673	226	778	335	616	522	506
195	747	119	58	347	528	90	59	750	97	142
196	92	379	546	143	433	8	871	373	52	551
198	59	128	718	236	256	691	90	433	173	683
220	511	473	101	113	132	856	186	141	592	146
308	825	840	122	254	526	559	512	593	23	478
314	836	284	814	546	559	581	217	61	558	113
343	823	779	778	40	556	558	786	859	7	877
414	500	753	501	258	110	508	151	888	750	485
418	765	727	99	621	446	821	126	241	317	796
420	278	423	301	431	186	651	833	806	488	162
422	313	581	7	270	549	278	286	878	113	443
47	28	66	15	700	27	41	203	750	74	42
48	200	76	315	723	841	828	213	750	50	118
49	168	596	24	11	232	853	877	375	314	64
50	42	37	3	700	750	27	630	579	397	28
51	41	203	700	37	3	27	478	28	144	559
76	211	212	858	422	173	366	38	368	749	397
88	387	337	347	606	196	90	400	483	492	870
99	702	708	216	689	843	846	775	701	849	135
100	71	5	369	266	363	193	6	360	339	185
101	492	606	337	328	387	483	749	707	97	816
102	582	838	320	53	576	593	120	176	675	44
114	213	748	315	200	400	851	857	76	490	38
145	335	589	877	728	422	232	11	836	94	759
158	731	115	705	578	750	889	498	250	748	4
159	195	5	369	185	363	6	28	360	257	208
160	285	850	211	110	816	231	151	400	748	223
161	311	552	177	276	626	313	119	621	554	747
162	236	147	58	208	494	851	186	750	850	175
163	30	813	74	850	2	189	56	137	104	22
164	386	724	598	636	594	611	880	341	402	15
165	199	139	750	58	851	869	530	813	633	76
166	38	118	579	50	29	315	509	723	787	841
167	689	69	216	701	849	722	605	685	76	714
204	22	139	137	422	211	774	90	656	199	749
227	274	413	652	252	19	307	721	17	534	20
228	215	108	659	177	706	311	616	704	280	584
229	792	682	180	211	232	640	213	425	155	809
230	301	559	545	836	114	389	814	776	856	113
231	814	251	545	559	792	211	184	72	469	143
304	817	572	55	498	663	536	97	683	632	508
530	637	449	55	683	809	530	347	400	747	626
794	108	495	351	157	231	317	855	887	307	881
52	138	548	57	750	641	818	387	626	400	55
53	697	172	590	157	19	68	527	194	48	262
54	778	301	7	114	859	860	340	32	414	866
55	551	96	192	111	307	836	48	550	162	146
87	116	866	393	450	746	62	590	511	256	551
478	845	847	880	672	887	177	382	352	573	537
716	116	373	843	846	858	842	376	660	807	866
56	647	836	433	410	24	169	610	362	17	19
57	314	701	69	880	183	421	279	39	152	576
58	28	548	55	700	37	73	144	193	683	400
59	66	850	816	193	27	11	749	700	674	37
69	440	256	581	556	478	141	779	142	632	877
70	233	621	420	253	456	48	573	252	554	19
71	516	836	24	814	180	859	581	160	36	433
72	206	343	48	420	770	621	456	313	108	312
133	152	101	511	47	132	418	165	658	615	372
134	152	164	634	321	166	9	617	362	534	206
135	617	9	321	534	163	844	242	228	843	846
136	628	313	513	130	343	885	679	511	413	418
137	17	169	838	229	111	423	344	779	242	709
200	845	697	194	60	172	45	837	868	860	590
67	814	511	786	551	36	833	433	859	558	823
68	39	596	145	298	173	281	814	246	859	779
77	122	838	254	24	334	259	582	21	232	491
78	232	63	647	23	169	410	362	111	39	721
147	582	198	272	883	838	576	723	432	320	850
154	43	488	119	641	818	606	324	33	328	710
186	721	362	321	169	410	17	242	432	647	634
199	334	375	23	353	259	120	75	529	589	526
538	604	721	111	96	608	234	270	562	592	379
116	315	605	213	685	38	723	748	722	653	750
117	820	720	750	352	535	400	712	772	505	747
118	762	313	538	551	765	727	182	456	618	812
119	226	683	632	55	119	867	536	117	747	347
120	47	615	658	164	132	511	418	665	277	727
534	634	111	584	721	270	169	284	225	661	393
89	114	106	701	759	863	220	799	386	30	25
90	98	171	610	698	135	2	638	374	74	642
103	308	402	863	396	870	239	850	98	193	97
105	64	630	555	828	816	552	400	422	155	183
91	842	708	763	845	9	855	287	844	535	652
92	731	70	578	705	889	749	250	37	366	11
93	99	581	159	414	870	25	759	583	209	340
94	582	838	491	198	320	216	339	576	397	53
95	194	697	172	843	846	775	868	842	157	720
192	195	266	257	359	653	427	466	87	208	757
193	45	697	172	157	652	848	708	855	843	846
194	592	146	169	546	778	19	192	616	225	17
262	697	45	364	9	194	580	853	881	868	702
107	32	491	877	61	733	100	182	579	99	526
109	395	206	233	498	345	693	193	114	784	749
110	723	22	154	117	212	87	203	38	559	366
121	340	471	427	211	298	661	820	432	12	814
122	284	98	61	193	17	25	186	551	362	225
157	67	689	216	576	371	675	537	849	701	189
169	670	218	488	683	859	779	50	509	814	622
173	814	856	551	581	113	25	478	559	141	134
190	679	695	610	696	256	20	440	393	580	761
212	199	137	392	530	823	633	58	212	703	227
221	814	581	561	460	639	856	836	256	267	859
223	721	169	584	389	362	647	393	270	146	17
316	142	683	626	661	226	583	100	506	536	321
341	238	851	239	744	674	21	400	877	465	875
342	134	718	128	121	850	748	569	208	674	250
397	252	219	876	652	721	848	708	560	634	763
398	236	886	332	199	659	427	497	803	813	810
139	13	2	166	117	97	227	877	142	121	392
140	19	17	169	48	146	142	647	362	192	721
346	855	845	282	158	20	880	546	301	370	610
696	572	347	668	682	508	635	568	352	663	251
697	553	694	693	495	655	520	565	587	352	395
889	694	668	553	534	573	351	847	708	163	854
146	695	741	310	256	778	376	20	415	307	192
181	313	9	166	364	542	456	880	321	847	163
277	52	51	376	610	847	280	413	343	307	546
278	133	181	177	215	621	287	837	276	347	534
111	101	511	615	132	658	727	762	164	665	770
112	19	51	313	742	866	229	34	206	233	192
113	762	727	878	159	733	765	661	47	277	99
279	624	313	587	684	621	664	554	162	445	864
280	456	554	167	256	92	253	621	628	534	577
287	559	142	347	301	117	536	632	512	192	3
283	723	76	89	465	555	50	718	680	569	481
284	788	521	333	850	767	578	731	748	889	155
285	287	311	9	108	177	133	534	843	846	775
286	689	491	371	67	582	838	69	849	320	576
148	882	356	327	359	153	555	333	207	475	578
149	387	187	536	66	347	117	144	386	28	611
150	193	37	723	154	208	71	816	422	638	339
151	203	559	397	117	632	3	271	512	465	142
152	688	778	513	770	255	36	61	663	864	545
153	154	308	147	28	74	803	137	680	813	6
126	343	708	763	108	694	553	233	827	163	879
128	836	162	502	169	610	609	664	49	36	25
129	516	8	859	232	383	779	460	197	733	836
130	197	155	160	793	584	551	516	836	383	169
131	502	664	550	551	36	381	662	622	609	591
132	9	617	336	652	166	534	880	843	846	775
191	92	836	313	146	17	262	142	554	169	225
197	151	658	500	247	808	792	150	285	243	184
201	647	111	721	17	146	362	19	410	592	262
340	561	591	762	733	727	460	162	604	765	379
348	728	55	276	621	309	549	336	317	706	311
680	575	733	762	234	546	551	871	833	727	821
141	349	556	524	272	800	725	23	174	598	145
142	886	845	747	55	816	683	32	626	779	108
143	886	142	392	862	227	231	551	703	836	476
183	606	128	774	870	97	656	196	337	492	59
184	176	677	584	747	880	437	800	837	105	120
185	437	800	103	230	556	836	176	558	546	610
205	567	197	859	160	232	516	169	34	17	836
303	763	163	761	108	573	621	652	624	847	708
399	105	440	103	230	174	176	23	589	24	725
170	610	749	843	846	775	402	842	286	193	860
171	154	308	134	749	193	56	208	723	402	863
172	147	308	749	723	56	28	87	402	422	850
207	744	628	513	679	741	657	690	546	820	457
208	701	74	851	724	129	89	857	594	400	748
209	616	511	551	256	581	762	546	433	362	277
339	386	636	543	773	185	594	153	826	598	872
344	725	729	865	224	862	683	867	235	34	638
175	577	763	99	253	621	708	313	456	9	770
176	566	96	450	738	373	581	846	393	51	545
177	203	559	632	55	478	119	3	347	226	512
178	200	578	475	38	519	787	212	29	509	102
179	33	606	400	722	328	335	683	117	57	747
180	353	375	334	176	198	75	259	122	582	675
309	798	252	253	807	636	205	336	313	770	711
