user_id,0,1,2,3,4,email_clicked
5260234c-9878-4d49-9d26-46b2d4718e13,11,38,798,776,483,[]
5260f967-7d74-4f6e-9deb-4b7fd4718e13,274,302,20,189,203,[]
526132a9-4280-4cc4-a2d8-42acd4718e13,826,200,218,201,207,[]
526640ab-ebd8-4593-9749-4002d4718e13,58,707,867,557,50,[]
528de178-be0c-4af4-9324-4fc8d4718e13,114,707,867,461,790,[]
528f575a-c6a8-4fdb-9bd7-4662d4718e13,68,73,107,123,726,[]
529492c1-d5c8-48d0-b411-4410d4718e13,166,114,442,38,73,[]
52949cdf-6860-496a-83e1-4e3bd4718e13,60,3,5,41,47,[]
5294de89-09e8-482f-899e-4cfcd4718e13,82,17,48,68,76,[]
5296fe22-a518-48c8-96bd-42e0d4718e13,106,70,72,91,112,[]
5298c2bc-7e58-4bef-9644-4607d4718e13,35,286,577,322,726,[]
529b4474-3e0c-4090-8606-4519d4718e13,324,693,695,557,707,[]
529c3b23-0828-4903-9f75-4950d4718e13,156,161,174,693,524,[]
529c56ba-5694-4862-8123-402ed4718e13,117,245,263,60,467,[]
529c5ee3-915c-479f-a7cf-427bd4718e13,114,707,867,461,790,[]
529dd13e-a880-4ef0-bf1a-4d84d4718e13,103,104,51,59,153,[]
52a0b0e9-0284-488a-a2be-4c43d4718e13,707,867,557,709,541,[]
52a1a6d3-39d0-457b-aeaf-416ed4718e13,23,5,31,39,47,[]
52a1c6e3-3fb4-4b34-9530-4c9bd4718e13,171,173,270,338,342,[]
52a1e381-8f04-422e-85f1-400ed4718e13,87,31,56,93,115,[]
52a5e465-2b54-4275-a11a-407bd4718e13,561,707,867,13,541,[]
52a6e2f2-c948-4be4-915f-447ed4718e13,42,54,142,707,867,[]
52a7021a-5dac-4c41-add0-4db7d4718e13,29,557,709,710,378,[]
52a73f7b-fca4-43fd-9383-44ced4718e13,29,557,709,710,378,[]
52a74a17-f26c-4c98-be5c-4f8bd4718e13,61,707,867,50,29,[]
52a81864-567c-4110-9c59-476ed4718e13,17,707,867,557,12,[]
52a835a7-f018-4618-aab8-4f04d4718e13,44,68,82,91,93,[]
52a8939e-ea3c-4a82-9f9a-4b0fd4718e13,36,707,867,557,709,[]
52a9d586-d7a0-43f0-a3e9-4d64d4718e13,167,238,240,640,62,[]
52ab0a8b-5498-41a5-9bae-2b33d4718e13,12,44,561,15,13,[]
52aee82a-0470-46f7-b140-4c4ed4718e13,79,87,191,218,310,[]
52aeecb9-a2cc-4acd-a207-4f78d4718e13,132,74,106,175,181,[]
52b04720-5cf4-4b40-9ad3-48aed4718e13,62,707,867,50,47,[]
52b3fe26-61e8-4d11-93e0-4035d4718e13,7,9,53,56,74,[]
52c59f63-d684-4983-adeb-4273d4718e13,544,672,322,707,867,[]
52ceb7e4-f064-4ab6-b8c0-430dd4718e13,364,378,557,707,867,[]
52d01965-f260-41e3-aa9b-40cdd4718e13,58,59,62,23,37,[]
52e21c7f-6c58-40aa-bf06-9317d4718e13,707,867,557,709,541,[]
52e28dc9-3df0-4c68-8c0e-4acbd4718e13,107,111,267,67,68,[]
52e2984e-76e0-457d-95bc-4bb5d4718e13,39,50,84,116,177,[]
52f0fc6f-a04c-441c-a737-4b78d4718e13,53,707,867,557,709,[]
52f12121-1168-4b4b-aa69-4905d4718e13,30,77,97,659,736,[]
52f224a9-2384-499b-a474-4303d4718e13,707,867,557,663,709,[]
52f4da04-f9a0-4974-b093-4701d4718e13,34,102,695,726,787,[]
53063262-91dc-4f83-a2b9-4d6fd4718e13,11,52,55,70,179,[]
530f2b8c-9ee8-48c7-92d8-41a1d4718e13,441,39,187,68,15,[]
5314613e-7e74-4631-a2cb-4c77d4718e13,21,44,69,8,12,[]
5314d9d2-2ee4-49de-acef-46dfd4718e13,157,48,105,254,274,[]
5315a252-a50c-4157-8782-485ed4718e13,39,42,707,867,122,[]
531ed128-d5c4-41ed-aa36-4798d4718e13,22,45,707,867,557,[]
5321e052-aa8c-454d-8e5d-4f9dd4718e13,203,479,23,38,47,[]
53281c05-e36c-4aec-8d9f-4537d4718e13,8,50,142,54,107,[]
53285415-3e34-41a0-820d-473ad4718e13,45,22,134,242,251,[]
532a4687-92a4-4b5b-9d92-4f05d4718e13,29,37,50,58,5,[]
532a8344-58a0-4b28-bd66-4946d4718e13,81,85,2,139,707,[]
532c48cf-ec30-42ab-aac3-45c0d4718e13,69,649,557,707,867,[]
5335567c-21f0-4aed-95d5-4285d4718e13,17,82,7,50,67,[]
