user_id,0,1,2,3,4,emailed
5260234c-9878-4d49-9d26-46b2d4718e13,186,336,243,301,249,[]
5260f967-7d74-4f6e-9deb-4b7fd4718e13,40,336,120,717,506,[]
526132a9-4280-4cc4-a2d8-42acd4718e13,567,3,186,336,547,[]
526640ab-ebd8-4593-9749-4002d4718e13,40,52,23,41,51,[]
528de178-be0c-4af4-9324-4fc8d4718e13,48,528,148,463,766,[]
528f575a-c6a8-4fdb-9bd7-4662d4718e13,400,271,8,319,42,[]
529492c1-d5c8-48d0-b411-4410d4718e13,40,336,271,148,706,[]
52949cdf-6860-496a-83e1-4e3bd4718e13,40,480,522,81,148,[]
5294de89-09e8-482f-899e-4cfcd4718e13,40,766,669,480,148,[]
5296fe22-a518-48c8-96bd-42e0d4718e13,567,3,336,590,351,[]
5298c2bc-7e58-4bef-9644-4607d4718e13,197,245,271,52,165,[]
529b4474-3e0c-4090-8606-4519d4718e13,3,480,182,509,148,[]
529c3b23-0828-4903-9f75-4950d4718e13,682,165,705,187,183,[]
529c56ba-5694-4862-8123-402ed4718e13,598,40,186,336,480,[]
529c5ee3-915c-479f-a7cf-427bd4718e13,48,528,148,463,766,[]
529dd13e-a880-4ef0-bf1a-4d84d4718e13,40,3,276,338,195,[]
52a0b0e9-0284-488a-a2be-4c43d4718e13,21,187,81,139,177,[]
52a1a6d3-39d0-457b-aeaf-416ed4718e13,40,186,336,480,148,[]
52a1c6e3-3fb4-4b34-9530-4c9bd4718e13,598,567,356,517,472,[]
52a1e381-8f04-422e-85f1-400ed4718e13,43,336,271,337,517,[]
52a5e465-2b54-4275-a11a-407bd4718e13,40,3,336,41,627,[]
52a6e2f2-c948-4be4-915f-447ed4718e13,40,41,187,319,84,[]
52a7021a-5dac-4c41-add0-4db7d4718e13,40,48,159,252,23,[]
52a73f7b-fca4-43fd-9383-44ced4718e13,40,48,159,252,23,[]
52a74a17-f26c-4c98-be5c-4f8bd4718e13,40,252,81,457,52,[]
52a81864-567c-4110-9c59-476ed4718e13,319,272,400,302,546,[]
52a835a7-f018-4618-aab8-4f04d4718e13,40,766,669,336,8,[]
52a8939e-ea3c-4a82-9f9a-4b0fd4718e13,111,133,120,197,516,[]
52a9d586-d7a0-43f0-a3e9-4d64d4718e13,598,40,336,509,508,[]
52ab0a8b-5498-41a5-9bae-2b33d4718e13,40,669,627,336,41,[]
52aee82a-0470-46f7-b140-4c4ed4718e13,547,567,3,336,186,[]
52aeecb9-a2cc-4acd-a207-4f78d4718e13,598,567,40,3,41,[]
52b04720-5cf4-4b40-9ad3-48aed4718e13,40,81,457,52,464,[]
52b3fe26-61e8-4d11-93e0-4035d4718e13,682,40,3,186,336,[]
52c59f63-d684-4983-adeb-4273d4718e13,383,116,528,337,752,[]
52ceb7e4-f064-4ab6-b8c0-430dd4718e13,3,29,51,84,151,[]
52d01965-f260-41e3-aa9b-40cdd4718e13,40,81,286,457,52,[]
52e21c7f-6c58-40aa-bf06-9317d4718e13,684,319,199,328,249,[]
52e28dc9-3df0-4c68-8c0e-4acbd4718e13,567,336,421,233,758,[]
52e2984e-76e0-457d-95bc-4bb5d4718e13,40,336,480,509,93,[]
52f0fc6f-a04c-441c-a737-4b78d4718e13,682,201,186,336,168,[]
52f12121-1168-4b4b-aa69-4905d4718e13,40,766,240,706,498,[]
52f224a9-2384-499b-a474-4303d4718e13,3,177,187,326,280,[]
52f4da04-f9a0-4974-b093-4701d4718e13,238,480,183,148,542,[]
53063262-91dc-4f83-a2b9-4d6fd4718e13,682,40,3,669,336,[]
530f2b8c-9ee8-48c7-92d8-41a1d4718e13,40,336,186,457,421,[]
5314613e-7e74-4631-a2cb-4c77d4718e13,766,547,567,40,336,[]
5314d9d2-2ee4-49de-acef-46dfd4718e13,40,336,522,682,514,[]
5315a252-a50c-4157-8782-485ed4718e13,201,40,186,336,41,[]
531ed128-d5c4-41ed-aa36-4798d4718e13,547,567,356,369,507,[]
5321e052-aa8c-454d-8e5d-4f9dd4718e13,682,40,480,509,81,[]
53281c05-e36c-4aec-8d9f-4537d4718e13,547,567,40,186,336,[]
53285415-3e34-41a0-820d-473ad4718e13,682,547,567,3,186,[]
532a4687-92a4-4b5b-9d92-4f05d4718e13,547,567,669,336,480,[]
532a8344-58a0-4b28-bd66-4946d4718e13,40,3,457,139,147,[]
532c48cf-ec30-42ab-aac3-45c0d4718e13,3,177,706,84,271,[]
5335567c-21f0-4aed-95d5-4285d4718e13,567,40,669,336,480,[]
53392dca-6780-495a-81f3-4cefd4718e13,766,40,336,201,457,[]
533d13cb-ac00-48e2-a395-4464d4718e13,186,336,281,201,79,[]
533d4d1b-89f0-4606-81ff-4180d4718e13,3,336,421,370,194,[]
533e7d61-3370-4a63-8b9f-45a4d4718e13,336,183,240,116,517,[]
5342ba5f-732c-44d0-acf5-4ffed4718e13,40,336,480,766,81,[]
534d4ed7-85ec-4f9d-a0cf-411dd4718e13,547,567,40,186,336,[]
534eb770-15c4-4ecc-a7fd-45d2d4718e13,40,186,336,400,319,[]
5358c8d3-21a8-4853-a7f3-46bdd4718e13,165,40,81,197,13,[]
5358d198-0a70-4cfc-bfd6-4947d4718e13,111,41,133,120,23,[]
536237b2-d6f0-403b-8236-4374d4718e13,40,271,449,684,506,[]
5367e2bf-8470-4655-9276-450fd4718e13,766,40,457,156,553,[]
5368b22b-b1f8-4b2d-8fda-4a32d4718e13,40,3,400,271,319,[]
5385d6fb-0878-49a9-9878-4aa2d4718e13,40,186,336,81,71,[]
5391d42d-d77c-489c-b312-4b78d4718e13,766,706,271,52,147,[]
53971beb-92fc-44bd-a148-4b18d4718e13,547,567,3,177,356,[]
53a0016b-fe20-4ac3-ad0a-4dabd4718e13,8,43,175,271,337,[]
53a02bd5-76d4-4bb9-85eb-4d54d4718e13,336,44,11,334,382,[]
53aac660-59c8-486d-80bc-4888d4718e13,567,40,705,336,457,[]
53ac22b9-a130-45b5-b2ef-452bd4718e13,40,186,336,81,52,[]
53b40846-72e4-4cbb-9641-4411d4718e13,567,3,336,186,271,[]
53baf4a2-0f2c-4945-b3e4-491ad4718e13,3,177,271,227,29,[]
53c66711-31a0-43ab-a45b-4be6d4718e13,547,567,8,336,271,[]
53c7b099-40d4-4c32-bd7f-4122d4718e13,40,669,336,766,120,[]
53c7cbb3-0980-40e9-afe2-418ad4718e13,40,81,472,587,71,[]
53d8e15b-6950-4369-8fae-6821d4718e13,682,547,567,40,336,[]
53e0f2b6-65f0-47d8-8f8f-4303d4718e13,464,195,151,21,273,[]
53e245e5-c860-4d7e-9e31-42ecd4718e13,766,547,567,40,336,[]
53e87d53-3e18-46c6-a7bf-499cd4718e13,336,480,319,148,13,[]
53eb7352-d53c-440b-b6af-47ecd4718e13,3,8,177,93,673,[]
53eca309-cc20-44ca-90f6-459cd4718e13,336,3,567,758,156,[]
53edba2e-5b6c-4d3f-befb-4a75d4718e13,3,186,8,336,413,[]
540628a3-687c-4841-a3f6-40eed4718e13,319,552,219,49,68,[]
54157b70-62b4-47e6-b34f-4d0fd4718e13,39,84,345,90,60,[]
54184956-6318-475c-9942-4467d4718e13,165,197,111,336,120,[]
541c461a-047c-4be7-9a54-40fbd4718e13,165,336,52,44,252,[]
543a6180-2f20-44ab-beb7-4402d4718e13,567,40,187,522,336,[]
543d0b47-d4a0-4e4a-962a-4985d4718e13,598,40,669,480,682,[]
5444f6dc-a560-4018-8f70-46fed4718e13,682,186,336,480,400,[]
54476e96-4d30-4f52-95f7-41fad4718e13,3,81,197,43,120,[]
5447b1b9-8cc0-4603-a036-4393d4718e13,766,40,186,336,480,[]
544e3359-a990-4df3-a441-a147d4718e13,567,3,336,421,368,[]
544eca98-48f0-4a70-b322-407ad4718e13,567,766,336,706,421,[]
54527334-f62c-495d-8982-4d27d4718e13,201,40,186,191,758,[]
545340b5-02c0-4124-9e06-4657d4718e13,682,567,3,598,186,[]
5457370f-4a9c-4144-92af-4ef6d4718e13,567,336,8,281,706,[]
54576eeb-5b50-47d0-9174-4dccd4718e13,336,186,272,285,110,[]
5457a954-4a1c-4e5b-a578-4687d4718e13,40,336,3,186,535,[]
5457ae12-52d4-4125-9b79-4167d4718e13,247,553,17,214,77,[]
5458b5d3-2728-49fe-9f8a-473bd4718e13,682,40,336,480,457,[]
