1,528f575a-c6a8-4fdb-9bd7-4662d4718e13,17,1.0,-1.0,-1.0,0.0,5.0
2,528f575a-c6a8-4fdb-9bd7-4662d4718e13,28,1.0,-1.0,-1.0,0.0,5.0
3,528f575a-c6a8-4fdb-9bd7-4662d4718e13,31,1.0,-1.0,-1.0,0.0,5.0
4,529492c1-d5c8-48d0-b411-4410d4718e13,48,1.0,-1.0,4.0,0.0,13.0
5,529492c1-d5c8-48d0-b411-4410d4718e13,116,1.0,-1.0,3.0,0.0,11.0
6,52949cdf-6860-496a-83e1-4e3bd4718e13,203,1.0,-1.0,1.0,0.0,7.0
7,52949cdf-6860-496a-83e1-4e3bd4718e13,226,1.0,-1.0,2.0,0.0,9.0
8,5294de89-09e8-482f-899e-4cfcd4718e13,202,1.0,-1.0,2.0,0.0,9.0
9,5296fe22-a518-48c8-96bd-42e0d4718e13,126,1.0,-1.0,8.0,0.0,21.0
10,529c56ba-5694-4862-8123-402ed4718e13,116,1.0,-1.0,3.0,0.0,11.0
11,529c56ba-5694-4862-8123-402ed4718e13,766,1.0,-1.0,1.0,0.0,7.0
12,52a0b0e9-0284-488a-a2be-4c43d4718e13,26,1.0,-1.0,-1.0,0.0,5.0
13,52a5e465-2b54-4275-a11a-407bd4718e13,16,1.0,-1.0,-1.0,0.0,5.0
14,52a5e465-2b54-4275-a11a-407bd4718e13,44,1.0,-1.0,1.0,0.0,7.0
15,52a74a17-f26c-4c98-be5c-4f8bd4718e13,59,1.0,-1.0,1.0,0.0,7.0
16,52a835a7-f018-4618-aab8-4f04d4718e13,31,1.0,-1.0,1.0,0.0,7.0
17,52a9d586-d7a0-43f0-a3e9-4d64d4718e13,116,1.0,-1.0,5.0,0.0,15.0
18,52a9d586-d7a0-43f0-a3e9-4d64d4718e13,337,1.0,-1.0,5.0,0.0,15.0
19,52a9d586-d7a0-43f0-a3e9-4d64d4718e13,383,1.0,-1.0,5.0,0.0,15.0
20,52a9d586-d7a0-43f0-a3e9-4d64d4718e13,442,1.0,-1.0,2.0,0.0,9.0
